Job Title,Company,Location,Posted Date,Experience Level,Salary Range (KSh),Min Salary,Max Salary,Key Skills,Industry/Sector,Job Type,Job Link,Has_SQL,Has_Python,Has_Power_BI,Has_Excel,Has_Tableau,Has_R,Has_Google_Sheets,Has_Dashboard,Has_Visualization,Has_dbt,Has_Snowflake,Has_Airflow,Has_SPSS,Total_Skills,Experience Group
Junior Data Analyst,Watu Credit,Nairobi,6 days ago,Junior,,,,"SQL, Excel, relational DB theory,data preparation,data acquisition",Fintech,Onsite,,1,0,0,1,0,1,0,0,0,0,0,0,0,3,Junior/Entry
Junior Data Engineer,FinStrat Management,Kitui County,1 month ago,Junior,,,,"Stripe, QuickBooks, HubSpot, Gusto, AWS experience",Fintech,Fully remote,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Junior/Entry
Reporting Data Analyst,Superbolt,Kitui County,3 weeks ago,,2500,2500.0,2500.0,"Google Sheets, SQL, Power BI, Metabase",,Contract,,1,0,1,0,0,1,1,0,0,0,0,0,0,4,Not Specified
Healthcare data analyst,Shine.com,Nairobi,2 days ago,,,,,"SQL, Python",Healthcare,Onsite,,1,1,0,0,0,0,0,0,0,0,0,0,0,2,Not Specified
Data Scientist,PayTech Group,Nairobi County,5 days ago,Senior,,,,"Python, dbt, Apache Airflow, Tableau, Power BI, Jupyter, Git, Azure",Business consulting,Contract,,0,1,1,0,1,1,0,0,0,1,0,1,0,6,Senior
Data Engineer,CrossBoundary,Nairobi,1 week ago,2-4+ years’,,,,"Python, dbt, snowflake, Azure",Investment firm,Onsite,,0,1,0,0,0,1,0,0,0,1,1,0,0,4,Mid-Level
Senior Data Analyst and Impact Measurement Officer,Red Cross and Red Crescent Societies,Nairobi,1 day ago,3-5 years,,,,"Excel, SPSS, R, Python, PMER concepts",NGO,Onsite,,0,1,0,1,0,1,0,0,0,0,0,0,1,4,Mid-Level
Business Analyst and Tester,Creative Bits AI,Nairobi,3 weeks ago,,,,,"SDLC, Agile methodologies, and QA practices, SQL, SaaS, CBAP, CCBA, or ISTQB",Technology,Full time,,1,0,0,0,0,1,0,0,0,0,0,0,0,2,Not Specified
Regional Insights & Analytics Specialist,Execafrica Recruitment Limited,Nairobi,1 week ago,3 years,100000,100000.0,100000.0,"EXCEL, POWER BI, FCMG","RETAIL, FASHION, FMCG",FULL TIME,,0,0,1,1,0,1,0,0,0,0,0,0,0,3,Mid-Level
DATA ANALYST,Early Hr Consultants,Nairobi,1 week ago,2 years,"KSh 15,000 - 30,000",15000.0,30000.0,"SQL, TABLEAU, POWER BI, EXCEL",HR,FULL TIME,,1,0,1,1,1,1,0,0,0,0,0,0,0,5,Mid-Level
